Unnamed: 0,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,2026-07-02 00:00:00,13:30-15:00,Room D,Religious Identity in the Digital Age,99
,2026-07-02 00:00:00,13:30-15:00,Room D,"36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City: 
A Case Study based in Shenzhen

Gao, Tianlin Hokkaido University",100
,2026-07-02 00:00:00,13:30-15:00,Room D,"79*Perception of AI Civilization in Daesoon Thought

Joo, Soyeon Daejin University
Lee, Gyungwon Daejin University",101
,2026-07-02 00:00:00,13:30-15:00,Room D,"129*Threads of Merit: Affect, Affordance, and Ethics in Digital Taiwan

Lin, Yu-Ting National Tsing Hua University 
Huang, C. Julia National Tsing Hua University",102
,2026-07-02 00:00:00,13:30-15:00,Room D,"60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief? 
Patterns in the ISSP 2018 Japan Survey

Shimizu, Koki Doshisha University
Cha, Min Kyung Kyung Hee University",103
,2026-07-02 00:00:00,15:00-15:20,,BREAK,104
,2026-07-02 00:00:00,15:20-16:30,Room A,Religion and Gender,105
,2026-07-02 00:00:00,15:20-16:30,Room A,"66*Between Legitimation and Marginalization: Female Spiritual Practitioners 
in Contemporary Chinese Mazu Belief

Ku, Ming-Chun National Tsing Hua University",106
,2026-07-02 00:00:00,15:20-16:30,Room A,"61*The Guanyin's Power of Healing Recorded in the Buddhist Miracle Tales 
in the First Two Decades of Post-war Taiwan

Li, Yu-Chen National Chengchi University",107
,2026-07-02 00:00:00,15:20-16:30,Room A,"68*Open Places, Transnational Networks: 
Guanyin Citta and the Relational Infrastructures of Urban Buddhism

Huang, Weishan Hong Kong Shue Yan University",108
,2026-07-02 00:00:00,15:20-16:30,Room B,"Religious Transmission and Informal Islamic Education 
in South Korea and Taiwan",109
,2026-07-02 00:00:00,15:20-16:30,Room B,"49*Negotiating Islamic Education: Migrant Muslim Motherhood, Informal Schooling, 
and Religious Adaptation in Taiwan

Chiou, Syuan Yuan National Chengchi University",110
,2026-07-02 00:00:00,15:20-16:30,Room B,"50*Preserving Faith Abroad: Islamic Education, Islamic School, 
and Indonesian Muslim Mothers in Educating Children in South Korea

Burhan, Amelia University Of Indonesia",111
,2026-07-02 00:00:00,15:20-16:30,Room B,"115*Teacher Involvement and Mental Health Support in Islamic Education in Taiwan

Kartina, Irna National Taipei University
Chiou, Syuan-yuan National Chengchi University",112
,2026-07-02 00:00:00,15:20-16:30,Room C,"Migration, Politics and Religion IV",113
,2026-07-02 00:00:00,15:20-16:30,Room C,"118*36 Years a Korean Jesuit in Japan: Migration, Minority Belonging, 
and the Vocation of Staying

Kim, Allen International Christian University",114
,2026-07-02 00:00:00,15:20-16:30,Room C,"103*Charismatic Leadership in Korean-American Church: 
The Socio-religious Catalyst of a Boston Immigration Community

Kim, David W. Australian National University / Kookmin University, Seoul",115
,2026-07-02 00:00:00,15:20-16:30,Room C,"120*Christianity in Hong Kong Under Political Change: Strategies of Religious Adaptation

Ng, Ka Shing Hokkaido University",116
,2026-07-02 00:00:00,16:30-16:45,,BREAK,117
,2026-07-02 00:00:00,17:10-18:20,,TOUR,118
,,,,,
,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",,,,
,DAY 3,,,,
,2026-07-03 00:00:00,,,,
,Date,Time,Room,Programme,
,2026-07-03 00:00:00,09:15-10:45,Room A,"Religion, Gender and Sexuality",119
,2026-07-03 00:00:00,09:15-10:45,Room A,"57*Too Religious for Our Group: Digital Gate-Keeping, Queer Resilience, 
and the Threat of Religious Change

Yen, Tzu-Chien Academia Sinica",120
,2026-07-03 00:00:00,09:15-10:45,Room A,"98*""Middle Women Rising (zhongnü jueqi)"": 
Framing Gendered Empowerment on Chinese Social Media

Chen, Jialin The University of Hong Kong
Wang, Yang The University of Hong Kong",121
,2026-07-03 00:00:00,09:15-10:45,Room A,"8*A Study on the Experience of LGBTQ+ Members of Soka Gakkai Japan: 
What is there to be learnt about the Current Status of Gender Equality Advocacy 
within the Organisation?

Colletti, Margot Waseda University",122
,2026-07-03 00:00:00,09:15-10:45,Room A,"128* ""Healthy Families, Holy Nation"": Transnational anti-Gender Politics 
in Contemporary South Korea

Ha, Hyun Jeong Duke Kunshan University",123
,2026-07-03 00:00:00,09:15-10:45,Room B,"Religion, Market and Economics",124
,2026-07-03 00:00:00,09:15-10:45,Room B,"45*Lucky Charms as Mobile Materiality: Portability, Multiplicity, 
and Authenticity beyond the Sacred/Secular Divide

Hosono, Kazuto University Of Tokyo",125
,2026-07-03 00:00:00,09:15-10:45,Room B,"26*Biblically Responsible Investing as Religious Economic Practice: 
Christian Normativity and Market Participation in the United States

Kitani, Kanan Doshisha University",126
,2026-07-03 00:00:00,09:15-10:45,Room B,"28*From Monopoly to Competition: The Transformation of the 
Menjuan (门眷) System in Daoism in Western Guangdong

Lin, Weizhi Guangdong Ocean University",127
,2026-07-03 00:00:00,09:15-10:45,Room B,"13*Devotion, Discipline, and Capital: Rethinking Religion under Neoliberal Conditions

Tovankasame, Nicha Prince Of Songkla University, Phuket Campus",128
,2026-07-03 00:00:00,09:15-10:45,Room C,Religious Resilience and Innovation in the Digital Age II,129
,2026-07-03 00:00:00,09:15-10:45,Room C,"15*Formation of a ""Mobile Church"" through Hybridization - 
A Case Study of Contemporary Protestant Churches in China

Sato, Chitose Hokkai School Of Commerce, Sapporo",130
,2026-07-03 00:00:00,09:15-10:45,Room C,"19*Redesigning the Sacred: Digital Mediation and the Crisis of Ritual Efficacy 
in Shanghai's Taoism

Wang, Linan Fudan University",131
,2026-07-03 00:00:00,09:15-10:45,Room C,"33*Digital Footprints and Spiritual Navigation: An AI-Driven Framework for 
Religious Resilience and Visual Narratives of Humanistic Buddhism at 
Fo Guang Shan in Taiwan (2005–2025)

Liu, Chih-Lin National Cheng Kung University (Republic Of China)",132
,2026-07-03 00:00:00,09:15-10:45,Room C,"39*Digital Appeals, Women's Engagement and House Church - State Conflict in L City

Liang, Xinuo SOAS, University Of London",133
,2026-07-03 00:00:00,10:45-11:00,,BREAK,134
,2026-07-03 00:00:00,11:00-12:10,Room A,Religion in Comparative Scope,135
,2026-07-03 00:00:00,11:00-12:10,Room A,"93*Religious Freedom Across Regimes in Asia: Does Faith Truly Thrive in Democracy?

Brasnett, Jonathan University Of Ottawa",136
,2026-07-03 00:00:00,11:00-12:10,Room A,"121*Reflections on Translation and Comparative Method: 
Hope as Word and Concept in Christianity and Buddhism

Hedges, Paul RSiS, Nanyang Technological University",137
,2026-07-03 00:00:00,11:00-12:10,Room A,"46*Religion as a Contentious Space of Authoritarian Influence: 
United Front Networks and the Contestation of Civil Society in Taiwan

Wang, Ray National Chengchi University",138
,2026-07-03 00:00:00,11:00-12:10,Room B,Religions in Southeast Asia III,139
,2026-07-03 00:00:00,11:00-12:10,Room B,"119*Artificial Intelligence in Taiwanese Folk Religion: 
The Dual Dynamics of Protection and Peril at Beigang Wude Temple

Lin, Ching-Chih National Chengchi University",140
,2026-07-03 00:00:00,11:00-12:10,Room B,"7*Technologies of Capture: Embodiment, Infection, and the Dynamics of Immersion 
and Documentation in Taiwanese Popular Religion

Tischer, Jacob Charles University Prague",141
,2026-07-03 00:00:00,11:00-12:10,Room B,"41*Buddhism's Recent Decline in East Asia

Tong, Yunping Pew Research Center
Fahmy, Dalia Pew Research Center",142
,2026-07-03 00:00:00,11:00-12:10,Room C,"Ritual, Festival and Religion II",143
,2026-07-03 00:00:00,11:00-12:10,Room C,"124*Emotional Resilience of Filial Piety in the East Asian Society: 
Dialogue between Science and Humanities

Zhang, Wenxu The Chinese University Of Hong Kong",144
,2026-07-03 00:00:00,11:00-12:10,Room C,"42*The Belief of Emperor Fuyou 孚佑帝君 in Taiwan's Morality Books 
Before and After World War II : Centered on the Collection of Books by 
Venerable Yuanman Dezhi 圓滿德治法師

Chen, Weng-Ching National Chengchi University",145
,2026-07-03 00:00:00,11:00-12:10,Room C,"35*Ritual Ontology under Algorithmic Mediation: 
Inter-Rituality and AI-Driven Ritual Transformation in Contemporary Taiwan

Wu, Kijin James Tainan Theological College And Seminary",146
,2026-07-03 00:00:00,12:10-13:30,,LUNCH,147
,2026-07-03 00:00:00,13:30-15:00,Room A,Digital Faith Communities,148
,2026-07-03 00:00:00,13:30-15:00,Room A,"59*Tenrikyo Missionary Work and the Digital Society: 
Is Door-to-Door Missionary Work Sustainable ?

Horiuchi, Midori Tenri University",149
,2026-07-03 00:00:00,13:30-15:00,Room A,"114*Transmission of Vernacular Ritual Traditions in the Digital Age: A Preliminary Study

Sun, Jiayue The University Of Hong Kong",150
,2026-07-03 00:00:00,13:30-15:00,Room A,"74*Research on the Religious Experience by VR Virtual Reality Technology

Wang, Chao Shaanxi Normal University",151
,2026-07-03 00:00:00,13:30-15:00,Room A,"105*Transnational Chinese Christians and Digital Placemaking in the Mediterranean Region

Cao, Nanlai City University Of Hong Kong",152
,2026-07-03 00:00:00,13:30-15:00,Room B,Religion in Social Media,153
,2026-07-03 00:00:00,13:30-15:00,Room B,"48*Bandwagon Pilgrimage: Imitative Rituals on Social Media - 
A Case Study of the Communication of Black Myth: Wukong

Lyu, Zhongwang Hong Kong Shue Yan University",154
,2026-07-03 00:00:00,13:30-15:00,Room B,"97*Platformed Cross-Reading: Marian - 
Guanyin Functional Equivalence in Social Media Contexts

Ma, Nan Jinan University (Guangzhou, China)",155
,2026-07-03 00:00:00,13:30-15:00,Room B,"123*Rednote (Xiao hong shu 小紅書) as Method: 
Theorizing Religious Repertoires in Global Chinese Sphere

Shmushko, Kai University Of Amsterdam",156
,2026-07-03 00:00:00,13:30-15:00,Room B,"53*Translation Edit Rates (TER) of Current LLMs for the Chinese to English Translation 
of the Fo Guang Dictionary of Buddhism: Correlations with Taishō Canon Mapping

Shih, Zhi Yue Fo Guang Shan Institute Of Humanistic Buddhism",157
,2026-07-03 00:00:00,13:30-15:00,Room C,Religious Liberty Issues in East Asia,158
,2026-07-03 00:00:00,13:30-15:00,Room C,"31*Religious Freedom and Institutional Path Dependency: 
Rethinking the Tai Ji Men Tax Controversy in Taiwan

Wu, Chih-Chung Independent Scholar, Taipei, Taiwan",159
,2026-07-03 00:00:00,13:30-15:00,Room C,"29*Human Rights, Religious Liberty, and the Limits of Legal Reform: 
Lessons from Contemporary Taiwanese Cases

Lee, Rowena Independent Scholar, Taipei, Taiwan",160
,2026-07-03 00:00:00,13:30-15:00,Room C,"30*Religious Gifts, Transitional Justice, and Incentive Structures: 
A Three-Dimensional Analysis of Taiwan's Tai Ji Men Case

Wen, Shang-Bin Tai Ji Men Qigong Academy",161
